round,trial,lobster,first.choice,side,density,tank,days in captive use,second use,new moon,full moon
10,59,20,1,density.B,5,5b,3,1,0,0
10,60,23,0,density.A,5,6a,3,1,0,0
10,60,23,1,density.B,11,6b,3,1,0,0
11,61,30,0,density.A,0,1a,3,1,0,0
11,61,30,1,density.B,11,1b,3,1,0,0
11,62,27,1,density.A,32,2a,3,1,0,0
11,62,27,0,density.B,1,2b,3,1,0,0
11,63,25,1,density.A,32,3a,3,1,0,0
11,63,25,0,density.B,0,3b,3,1,0,0
11,65,29,1,density.A,2,5a,3,1,0,0
11,65,29,0,density.B,0,5b,3,1,0,0
11,66,28,1,density.A,0,6a,3,1,0,0
11,66,28,0,density.B,5,6b,3,1,0,0
12,67,31,0,density.A,1,1a,3,1,0,0
12,67,31,1,density.B,32,1b,3,1,0,0
12,68,32,1,density.A,5,2a,3,1,0,0
12,68,32,0,density.B,2,2b,3,1,0,0
12,69,35,0,density.A,2,3a,3,1,0,0
12,69,35,1,density.B,32,3b,3,1,0,0
12,70,33,0,density.A,0,4a,3,1,0,0
12,70,33,1,density.B,1,4b,3,1,0,0
12,72,34,0,density.A,1,6a,3,1,0,0
12,72,34,1,density.B,11,6b,3,1,0,0
13,73,39,1,density.A,32,1a,3,0,0,0
13,73,39,0,density.B,5,1b,3,0,0,0
13,74,37,0,density.A,11,2a,3,0,0,0
13,74,37,1,density.B,32,2b,3,0,0,0
13,75,40,0,density.A,2,3a,3,0,0,0
13,75,40,1,density.B,32,3b,3,0,0,0
13,76,41,0,density.A,32,4a,3,0,0,0
13,76,41,1,density.B,0,4b,3,0,0,0
13,77,38,1,density.A,1,5a,3,0,0,0
13,77,38,0,density.B,0,5b,3,0,0,0
13,78,42,1,density.A,1,6a,3,0,0,0
13,78,42,0,density.B,2,6b,3,0,0,0
14,79,46,0,density.A,1,1a,5,0,0,0
14,79,46,1,density.B,0,1b,5,0,0,0
14,80,48,0,density.A,32,2a,5,0,0,0
14,80,48,1,density.B,11,2b,5,0,0,0
14,81,47,1,density.A,2,3a,5,0,0,0
14,81,47,0,density.B,1,3b,5,0,0,0
14,82,45,1,density.A,0,4a,5,0,0,0
14,82,45,0,density.B,11,4b,5,0,0,0
14,83,43,0,density.A,5,5a,5,0,0,0
14,83,43,1,density.B,32,5b,5,0,0,0
14,84,44,0,density.A,32,6a,5,0,0,0
14,84,44,1,density.B,0,6b,5,0,0,0
15,85,49,1,density.A,5,1a,5,0,0,0
15,85,49,0,density.B,0,1b,5,0,0,0
15,86,52,0,density.A,5,2a,5,0,0,0
15,86,52,1,density.B,11,2b,5,0,0,0
15,87,54,0,density.A,0,3a,5,0,0,0
15,87,54,1,density.B,32,3b,5,0,0,0
15,88,50,1,density.A,32,4a,5,0,0,0
15,88,50,0,density.B,2,4b,5,0,0,0
15,89,51,1,density.A,0,5a,5,0,0,0
15,89,51,0,density.B,2,5b,5,0,0,0
15,90,53,1,density.A,32,6a,5,0,0,0
15,90,53,0,density.B,11,6b,5,0,0,0
16,91,60,1,density.A,11,1a,5,0,0,0
16,91,60,0,density.B,1,1b,5,0,0,0
16,92,58,0,density.A,2,2a,5,0,0,0
16,92,58,1,density.B,11,2b,5,0,0,0
16,93,59,1,density.A,32,3a,5,0,0,0
16,93,59,0,density.B,1,3b,5,0,0,0
16,94,57,0,density.A,1,4a,5,0,0,0
16,94,57,1,density.B,5,4b,5,0,0,0
16,95,56,0,density.A,2,5a,5,0,0,0
16,95,56,1,density.B,5,5b,5,0,0,0
16,96,55,0,density.A,5,6a,5,0,0,0
16,96,55,1,density.B,32,6b,5,0,0,0
17,97,63,0,density.A,2,1a,5,0,0,0
17,97,63,1,density.B,32,1b,5,0,0,0
17,99,64,1,density.A,0,3a,5,0,0,0
17,99,64,0,density.B,11,3b,5,0,0,0
17,100,62,0,density.A,1,4a,5,0,0,0
17,100,62,1,density.B,11,4b,5,0,0,0
17,101,65,0,density.A,5,5a,5,0,0,0
17,101,65,1,density.B,0,5b,5,0,0,0
17,102,61,1,density.A,2,6a,5,0,0,0
17,102,61,0,density.B,0,6b,5,0,0,0
18,103,69,1,density.A,32,1a,5,0,0,0
18,103,69,0,density.B,11,1b,5,0,0,0
18,104,70,1,density.A,5,2a,5,0,0,0
18,104,70,0,density.B,1,2b,5,0,0,0
18,105,72,0,density.A,2,3a,5,0,0,0
18,105,72,1,density.B,5,3b,5,0,0,0
18,106,66,1,density.A,5,4a,5,0,0,0
18,106,66,0,density.B,11,4b,5,0,0,0
18,107,71,1,density.A,32,5a,5,0,0,0
18,107,71,0,density.B,0,5b,5,0,0,0
18,108,68,1,density.A,0,6a,5,0,0,0
18,108,68,0,density.B,1,6b,5,0,0,0
19,109,38,0,density.A,2,1a,5,1,0,0
19,109,38,1,density.B,11,1b,5,1,0,0
19,111,37,1,density.A,2,3a,5,1,0,0
19,111,37,0,density.B,1,3b,5,1,0,0
19,112,39,0,density.A,1,5a,5,1,0,0
19,112,39,1,density.B,32,5b,5,1,0,0
20,113,40,1,density.A,5,2a,5,1,0,0
20,113,40,0,density.B,32,2b,5,1,0,0
21,114,75,0,density.A,2,1a,56,0,0,1
21,114,75,1,density.B,1,1b,56,0,0,1
21,115,74,0,density.A,1,2a,56,0,0,1
21,115,74,1,density.B,5,2b,56,0,0,1
21,116,77,1,density.A,11,3a,56,0,0,1
21,116,77,0,density.B,2,3b,56,0,0,1
21,117,76,1,density.A,32,4a,56,0,0,1
21,117,76,0,density.B,11,4b,56,0,0,1
21,118,73,0,density.A,0,5a,56,0,0,1
21,118,73,1,density.B,5,5b,56,0,0,1
22,120,80,0,density.A,0,1a,56,0,0,1
22,120,80,1,density.B,11,1b,56,0,0,1
22,121,79,0,density.A,1,2a,56,0,0,1
22,121,79,1,density.B,0,2b,56,0,0,1
22,122,84,0,density.A,5,3a,56,0,0,1
22,122,84,1,density.B,32,3b,56,0,0,1
22,123,82,1,density.A,11,4a,56,0,0,1
22,123,82,0,density.B,2,4b,56,0,0,1
22,124,83,1,density.A,2,5a,56,0,0,1
22,124,83,0,density.B,5,5b,56,0,0,1
22,125,81,0,density.A,2,6a,56,0,0,1
22,125,81,1,density.B,1,6b,56,0,0,1
23,126,85,1,density.A,1,1a,56,0,0,1
23,126,85,0,density.B,32,1b,56,0,0,1
23,127,87,0,density.A,2,2a,56,0,0,1
23,127,87,1,density.B,0,2b,56,0,0,1
23,128,90,1,density.A,0,3a,56,0,0,1
23,128,90,0,density.B,32,3b,56,0,0,1
23,129,86,1,density.A,5,4a,56,0,0,1
23,129,86,0,density.B,0,4b,56,0,0,1
23,130,89,1,density.A,2,5a,56,0,0,1
23,130,89,0,density.B,11,5b,56,0,0,1
23,131,88,0,density.A,32,6a,56,0,0,1
23,131,88,1,density.B,2,6b,56,0,0,1
24,132,91,1,density.A,32,1a,56,0,0,1
24,132,91,0,density.B,11,1b,56,0,0,1
24,133,95,1,density.A,1,2a,56,0,0,1
24,133,95,0,density.B,11,2b,56,0,0,1
24,134,92,1,density.A,2,3a,56,0,0,1
24,134,92,0,density.B,1,3b,56,0,0,1
24,135,93,1,density.A,5,4a,56,0,0,1
24,135,93,0,density.B,32,4b,56,0,0,1
24,136,94,1,density.A,1,5a,56,0,0,1
24,136,94,0,density.B,0,5b,56,0,0,1
24,137,96,1,density.A,0,6a,56,0,0,1
24,137,96,0,density.B,11,6b,56,0,0,1
25,138,102,0,density.A,5,1a,56,0,0,1
25,138,102,1,density.B,1,1b,56,0,0,1
25,139,97,0,density.A,0,2a,56,0,0,1
25,139,97,1,density.B,32,2b,56,0,0,1
25,140,99,1,density.A,11,3a,56,0,0,1
25,140,99,0,density.B,5,3b,56,0,0,1
25,141,98,0,density.A,0,4a,56,0,0,1
25,141,98,1,density.B,2,4b,56,0,0,1
25,142,101,1,density.A,32,5a,56,0,0,1
25,142,101,0,density.B,1,5b,56,0,0,1
25,143,100,1,density.A,2,1a,56,0,0,1
25,143,100,0,density.B,5,1b,56,0,0,1
26,145,104,1,density.A,11,2a,56,0,0,1
26,145,104,0,density.B,5,2b,56,0,0,1
26,146,106,0,density.A,2,3a,56,0,0,1
26,146,106,1,density.B,32,3b,56,0,0,1
26,147,105,0,density.A,11,4a,56,0,0,1
26,147,105,1,density.B,0,4b,56,0,0,1
26,148,107,1,density.A,5,5a,56,0,0,1
26,148,107,0,density.B,32,5b,56,0,0,1
26,149,103,1,density.A,11,6a,56,0,0,1
26,149,103,0,density.B,1,6b,56,0,0,1
27,150,78,0,density.A,0,1a,57,1,0,0
27,150,78,1,density.B,5,1b,57,1,0,0
27,151,74,1,density.A,32,3a,57,1,0,0
27,151,74,0,density.B,11,3b,57,1,0,0
27,153,73,1,density.A,5,6a,57,1,0,0
27,153,73,0,density.B,1,6b,57,1,0,0
28,156,80,0,density.A,32,1a,57,1,0,0
28,156,80,1,density.B,1,1b,57,1,0,0
28,157,83,1,density.A,0,2a,57,1,0,0
28,157,83,0,density.B,2,2b,57,1,0,0
28,158,79,1,density.A,32,4a,57,1,0,0
28,158,79,0,density.B,0,4b,57,1,0,0
28,160,84,1,density.A,5,5a,57,1,0,0
28,160,84,0,density.B,2,5b,57,1,0,0
28,161,82,0,density.A,2,6a,57,1,0,0
28,161,82,1,density.B,1,6b,57,1,0,0
29,162,90,0,density.A,32,1a,57,1,0,0
29,162,90,1,density.B,11,1b,57,1,0,0
29,163,88,0,density.A,1,2a,57,1,0,0
29,163,88,1,density.B,11,2b,57,1,0,0
29,164,86,1,density.A,5,3a,57,1,0,0
29,164,86,0,density.B,0,3b,57,1,0,0
29,165,89,0,density.A,1,4a,57,1,0,0
29,165,89,1,density.B,32,4b,57,1,0,0
29,166,87,0,density.A,2,5a,57,1,0,0
29,166,87,1,density.B,32,5b,57,1,0,0
29,167,85,1,density.A,5,6a,57,1,0,0
29,167,85,0,density.B,1,6b,57,1,0,0
30,168,92,0,density.A,0,1a,57,1,0,0
30,168,92,1,density.B,11,1b,57,1,0,0
30,169,94,1,density.A,1,2a,57,1,0,0
30,169,94,0,density.B,0,2b,57,1,0,0
30,170,91,0,density.A,5,3a,57,1,0,0
30,170,91,1,density.B,32,3b,57,1,0,0
30,171,96,0,density.A,11,4a,57,1,0,0
30,171,96,1,density.B,2,4b,57,1,0,0
30,172,95,0,density.A,0,5a,57,1,0,0
30,172,95,1,density.B,32,5b,57,1,0,0
30,173,93,0,density.A,2,6a,57,1,0,0
30,173,93,1,density.B,0,6b,57,1,0,0
31,174,98,0,density.A,2,1a,57,1,0,0
31,174,98,1,density.B,5,1b,57,1,0,0
31,175,97,1,density.A,5,2a,57,1,0,0
31,175,97,0,density.B,11,2b,57,1,0,0
31,176,103,1,density.A,5,3a,57,1,0,0
31,176,103,0,density.B,11,3b,57,1,0,0
31,177,101,0,density.A,32,4a,57,1,0,0
31,177,101,1,density.B,2,4b,57,1,0,0
31,178,100,0,density.A,1,5a,57,1,0,0
31,178,100,1,density.B,11,5b,57,1,0,0
31,179,99,1,density.A,1,6a,57,1,0,0
31,179,99,0,density.B,0,6b,57,1,0,0
