"","Year","ID","No_Patches","Mean_Area","Mean_PAR","Mean_Div","CID"
"1",2010,1,446,0.0258248198819863,5.56569378692996,0.0613703265925777,1
"2",2010,2,1914,0.0069074555914954,5.47406376126272,0.562246163460495,1
"3",2010,3,3083,0.00482551110703668,5.74717979960999,0.481419584393518,1
"4",2010,4,1763,0.00902709506947457,5.25986782985099,0.333657559036899,1
"5",2010,5,928,0.00969326696080538,5.8736489352685,0.0359961563563291,1
"6",2010,6,2090,0.00568799482114215,5.45198584762034,0.199053683561314,1
"7",2010,7,2294,0.00709210321511547,5.65743004375887,0.565124920152571,1
"8",2010,8,2327,0.00634845495710012,5.34517864067369,0.524276847910379,1
"9",2010,9,2409,0.00396877571372404,5.62798178769237,0.322994504026908,1
"10",2010,10,2903,0.00487404425304592,5.55321555816016,0.25730450948755,1
"11",2010,11,1174,0.00961504627423145,4.52694272903979,0.297416895156092,1
"12",2010,12,486,0.0244530670007962,5.51862893027909,0.0530834094790995,1
"13",2010,13,521,0.0141980736052257,5.56237388603524,0.454506716484613,1
"14",2010,14,576,0.0231116111188742,5.4576670523561,0.0378454631212339,1
"15",2010,15,2140,0.00783443097293522,5.5882979905595,0.144392044665938,1
"16",2010,16,2130,0.00378875156426654,5.6669195393198,0.27294416502461,1
"17",2010,17,1179,0.00703308704959572,5.30726885958078,0.159477647437694,1
"18",2010,18,1020,0.0169461179971728,5.48837892937599,0.0439428840606806,1
"19",2010,19,1208,0.0143299226438622,5.46611234932164,0.0581485701955482,1
"20",2010,20,527,0.0384625512527798,5.64791464348834,0.0214154727754136,1
"21",2010,21,1400,0.0107848535202298,5.38349636878944,0.0690262782034307,2
"22",2010,22,481,0.0425339185918309,5.60689309877533,0.0208203706891654,2
"23",2010,23,1020,0.0163952013744382,4.74202254264117,0.173237048970126,2
"24",2010,24,1817,0.00935300741139135,5.66737777806534,0.14595599432872,2
"25",2010,25,1638,0.0101487644430819,5.87370183830166,0.148219078359114,2
"26",2010,26,1,21.8407415764974,0.0111301784770989,0,2
